state,month,normal_temperature
Andhra Pradesh,1,30.079036354035388
Andhra Pradesh,2,32.351897613852934
Andhra Pradesh,3,35.21907019278278
Andhra Pradesh,4,37.31164421986065
Andhra Pradesh,5,37.19519781924289
Andhra Pradesh,6,35.598553674057605
Andhra Pradesh,7,32.119639865913044
Andhra Pradesh,8,32.64367027125142
Andhra Pradesh,9,32.18985069447884
Andhra Pradesh,10,32.15165326821631
Andhra Pradesh,11,29.983217839128773
Andhra Pradesh,12,29.292889532387793
Arunachal Pradesh,1,23.5193208575183
Arunachal Pradesh,2,24.989591440027713
Arunachal Pradesh,3,28.845926745932708
Arunachal Pradesh,4,29.635780487925807
Arunachal Pradesh,5,30.67564779413552
Arunachal Pradesh,6,31.661669601162032
Arunachal Pradesh,7,32.57595608480646
Arunachal Pradesh,8,32.81581043802265
Arunachal Pradesh,9,33.10165114483087
Arunachal Pradesh,10,31.786584543305487
Arunachal Pradesh,11,29.45915091858082
Arunachal Pradesh,12,25.88561140517036
Assam,1,22.724868549025402
Assam,2,24.65503426470673
Assam,3,28.654513381226234
Assam,4,29.857723345033644
Assam,5,30.28264824883191
Assam,6,31.02852727784725
Assam,7,31.89930331881826
Assam,8,32.218635130967826
Assam,9,32.40432803138359
Assam,10,31.04165348523752
Assam,11,28.685202406893026
Assam,12,25.089076898116414
Bihar,1,21.014098382845763
Bihar,2,26.027278164976074
Bihar,3,31.44940145594477
Bihar,4,36.638665427631445
Bihar,5,35.259521427324465
Bihar,6,35.227808820746915
Bihar,7,33.76482967291181
Bihar,8,33.03344228695332
Bihar,9,32.97867512392403
Bihar,10,32.125670493635106
Bihar,11,29.03923323303097
Bihar,12,24.484214421084907
Chandigarh,1,16.690434455871582
Chandigarh,2,22.507857999057634
Chandigarh,3,27.28857575834187
Chandigarh,4,33.52200854908336
Chandigarh,5,35.280484684178084
Chandigarh,6,35.94195339135956
Chandigarh,7,32.75545526723393
Chandigarh,8,32.51300676019342
Chandigarh,9,32.29877954370835
Chandigarh,10,30.739278609292548
Chandigarh,11,25.780464985059655
Chandigarh,12,20.469068201382957
Chhattisgarh,1,26.827636261034556
Chhattisgarh,2,29.955833226569382
Chhattisgarh,3,34.04672732020342
Chhattisgarh,4,37.95476166703939
Chhattisgarh,5,38.47665126965541
Chhattisgarh,6,35.67444662687349
Chhattisgarh,7,31.77894452552676
Chhattisgarh,8,30.95368360576849
Chhattisgarh,9,31.505296438943443
Chhattisgarh,10,31.77278730266026
Chhattisgarh,11,29.63819219029242
Chhattisgarh,12,27.1829532257074
Dadra and Nagar Haveli,1,28.40482084951413
Dadra and Nagar Haveli,2,31.60824506014034
Dadra and Nagar Haveli,3,34.78353566411807
Dadra and Nagar Haveli,4,37.130671766457155
Dadra and Nagar Haveli,5,36.99094018963982
Dadra and Nagar Haveli,6,32.98238992057301
