date,ST_NM,electricity_name,MaxTemp_C,Daily_Energy_MU,Peak_Met_MW,Peak_Unmet_MW
2020-01-01,Andhra Pradesh,Andhra Pradesh,29.30013348497467,165.2,8657.0,0.0
2020-01-01,Arunachal Pradesh,Arunachal Pradesh,23.697596901506756,2.2,117.0,2.0
2020-01-01,Assam,Assam,22.83415594116212,21.7,1264.0,16.0
2020-01-01,Bihar,Bihar,19.770460357129085,82.9,4424.0,0.0
2020-01-01,Chandigarh,Chandigarh,15.321514129638672,4.8,293.0,0.0
2020-01-01,Chhattisgarh,Chhattisgarh,22.78697388117349,74.8,3509.0,0.0
2020-01-01,Dadara & Nagar Havelli,Dadra and Nagar Haveli,27.51840033992534,16.7,728.0,0.0
2020-01-01,Daman & Diu,Daman and Diu,26.25571147975433,5.8,263.0,0.0
2020-01-01,NCT of Delhi,Delhi,18.910312371517065,83.5,5210.0,0.0
2020-01-01,Goa,Goa,31.45263425749592,12.6,476.0,0.0
2020-01-01,Gujarat,Gujarat,23.48665007244938,301.9,14523.0,0.0
2020-01-01,Haryana,Haryana,17.817291244601236,128.2,6453.0,0.0
2020-01-01,Himachal Pradesh,Himachal Pradesh,13.447742786630462,30.1,1722.0,0.0
2020-01-01,Jammu & Kashmir,Jammu and Kashmir,10.099483906040652,53.2,2792.0,698.0
2020-01-01,Jharkhand,Jharkhand,21.04303343647697,26.3,1281.0,0.0
2020-01-01,Karnataka,Karnataka,29.62401206164449,205.3,11590.0,0.0
2020-01-01,Kerala,Kerala,29.72561423931649,73.4,3560.0,0.0
2020-01-01,Madhya Pradesh,Madhya Pradesh,19.488402226510843,239.3,13575.0,0.0
2020-01-01,Maharashtra,Maharashtra,27.13964504380393,395.8,19706.0,0.0
2020-01-01,Manipur,Manipur,23.343586097263444,2.4,193.0,3.0
2020-01-01,Meghalaya,Meghalaya,22.59052492286784,6.3,379.0,0.0
2020-01-01,Mizoram,Mizoram,23.08768949524743,1.7,98.0,1.0
2020-01-01,Nagaland,Nagaland,23.857394205974963,2.2,121.0,2.0
2020-01-01,Odisha,Odisha,25.303646330714933,66.3,3620.0,0.0
2020-01-01,Puducherry,Puducherry,30.00402931709314,6.4,317.0,0.0
2020-01-01,Punjab,Punjab,15.87964299127388,118.8,6057.0,0.0
2020-01-01,Rajasthan,Rajasthan,18.887691245651748,239.8,13711.0,0.0
2020-01-01,Sikkim,Sikkim,18.469583656294173,1.7,120.0,0.0
2020-01-01,Tamil Nadu,Tamil Nadu,29.730524852553955,270.3,11770.0,0.0
2020-01-01,Telangana,Telangana,28.846876075680967,201.2,10253.0,0.0
2020-01-01,Tripura,Tripura,22.937962395043684,3.5,220.0,0.0
2020-01-01,Uttar Pradesh,Uttar Pradesh,18.224516820537254,320.7,16987.0,0.0
2020-01-01,Uttarakhand,Uttarakhand,15.296315014803682,38.1,2114.0,0.0
2020-01-01,West Bengal,West Bengal,22.409551893524785,106.8,6009.0,0.0
2020-01-02,Andhra Pradesh,Andhra Pradesh,29.132771486103195,167.4,8414.0,0.0
2020-01-02,Arunachal Pradesh,Arunachal Pradesh,23.064301051759777,2.2,116.0,2.0
2020-01-02,Assam,Assam,22.59945604294984,22.5,1382.0,8.0
2020-01-02,Bihar,Bihar,21.496023750733222,77.0,4556.0,0.0
2020-01-02,Chandigarh,Chandigarh,18.27206420898437,4.3,260.0,0.0
2020-01-02,Chhattisgarh,Chhattisgarh,22.74398836068102,69.0,3447.0,0.0
2020-01-02,Dadara & Nagar Havelli,Dadra and Nagar Haveli,27.689031391234344,17.6,792.0,0.0
2020-01-02,Daman & Diu,Daman and Diu,26.282594369458227,6.4,305.0,0.0
2020-01-02,NCT of Delhi,Delhi,20.86265066099782,79.2,4690.0,0.0
2020-01-02,Goa,Goa,31.48409139282211,13.0,490.0,0.0
2020-01-02,Gujarat,Gujarat,24.06011750379848,313.2,15253.0,0.0
2020-01-02,Haryana,Haryana,20.348270347655,127.5,6648.0,0.0
2020-01-02,Himachal Pradesh,Himachal Pradesh,14.86250057581752,30.2,1668.0,0.0
2020-01-02,Jammu & Kashmir,Jammu and Kashmir,11.930521162855449,51.5,2824.0,706.0
2020-01-02,Jharkhand,Jharkhand,22.305331622283745,23.0,1305.0,0.0
2020-01-02,Karnataka,Karnataka,29.863994628636444,212.4,11995.0,0.0
2020-01-02,Kerala,Kerala,30.049839578119297,75.4,3751.0,0.0
2020-01-02,Madhya Pradesh,Madhya Pradesh,20.98263636659436,228.2,12262.0,0.0
2020-01-02,Maharashtra,Maharashtra,26.915282457035467,411.1,20369.0,0.0
2020-01-02,Manipur,Manipur,22.525122453022806,2.7,195.0,3.0
2020-01-02,Meghalaya,Meghalaya,22.717169675931228,5.7,361.0,0.0
2020-01-02,Mizoram,Mizoram,22.611772270138665,1.8,97.0,1.0
2020-01-02,Nagaland,Nagaland,23.107906664589283,2.3,126.0,1.0
2020-01-02,Odisha,Odisha,24.687221492405357,65.8,3658.0,0.0
2020-01-02,Puducherry,Puducherry,30.89647306281037,6.6,348.0,0.0
